iter	Passed	Remaining
562	10270	7971
563	10288	7953
564	10306	7934
565	10324	7916
566	10342	7898
567	10360	7879
568	10379	7861
569	10396	7842
570	10414	7824
571	10431	7805
572	10449	7786
573	10468	7768
574	10487	7751
575	10506	7733
576	10523	7714
577	10541	7696
578	10559	7678
579	10577	7659
580	10595	7641
581	10614	7623
582	10633	7606
583	10651	7587
584	10669	7568
585	10687	7550
586	10706	7532
587	10725	7514
588	10744	7497
589	10762	7478
590	10780	7460
591	10799	7442
592	10817	7424
593	10835	7406
594	10853	7387
595	10871	7369
596	10889	7350
597	10906	7331
598	10924	7313
599	10942	7294
600	10960	7276
601	10980	7259
602	10998	7241
603	11016	7222
604	11035	7205
605	11054	7187
606	11073	7169
607	11091	7151
608	11109	7132
609	11132	7117
610	11151	7099
611	11170	7081
612	11190	7064
613	11208	7046
614	11227	7028
615	11246	7011
616	11264	6992
617	11283	6974
618	11301	6956
619	11319	6937
620	11337	6919
621	11354	6900
622	11372	6882
623	11390	6863
624	11409	6845
625	11427	6827
626	11446	6809
627	11465	6791
628	11483	6773
629	11503	6756
630	11522	6738
631	11541	6720
632	11559	6702
633	11577	6683
634	11595	6665
635	11614	6647
636	11632	6629
637	11650	6610
638	11669	6592
639	11687	6574
640	11705	6556
641	11724	6537
642	11741	6519
643	11759	6500
644	11776	6481
645	11795	6463
646	11813	6445
647	11832	6427
648	11850	6409
649	11869	6391
650	11887	6372
651	11905	6354
652	11923	6336
653	11942	6318
654	11960	6299
655	11979	6281
656	11998	6264
657	12017	6246
658	12035	6227
659	12053	6209
660	12071	6190
661	12089	6172
662	12107	6154
663	12125	6135
664	12143	6117
665	12161	6099
666	12180	6081
667	12199	6063
668	12218	6045
669	12236	6026
670	12255	6009
671	12273	5990
672	12292	5972
673	12310	5954
674	12328	5936
675	12346	5917
676	12364	5899
677	12383	5881
678	12401	5863
679	12420	5844
680	12437	5825
681	12455	5807
682	12473	5789
683	12492	5771
684	12510	5753
685	12529	5734
686	12546	5716
687	12565	5698
688	12584	5680
689	12602	5662
690	12621	5643
691	12639	5625
692	12657	5607
693	12675	5589
694	12694	5571
695	12713	5552
696	12732	5534
697	12750	5516
698	12769	5498
699	12787	5480
700	12805	5462
701	12824	5443
702	12842	5425
703	12860	5407
704	12879	5389
705	12897	5371
706	12915	5352
707	12934	5334
708	12952	5316
709	12971	5298
710	12990	5280
711	13009	5262
712	13027	5244
713	13045	5225
714	13064	5207
715	13081	5188
716	13100	5170
717	13118	5152
718	13137	5134
719	13155	5116
720	13173	5097
721	13189	5078
722	13208	5060
723	13226	5042
724	13249	5025
725	13268	5007
726	13287	4989
727	13305	4971
728	13324	4953
729	13342	4934
730	13360	4916
731	13379	4898
732	13397	4880
733	13415	4861
734	13434	4843
735	13452	4825
736	13471	4807
737	13487	4788
738	13505	4769
739	13522	4751
740	13541	4733
741	13559	4714
742	13577	4696
743	13595	4678
744	13614	4659
745	13632	4641
746	13650	4623
747	13668	4604
748	13687	4586
749	13705	4568
750	13722	4549
751	13741	4531
752	13760	4513
753	13780	4496
754	13798	4477
755	13815	4459
756	13834	4440
757	13853	4422
758	13870	4404
759	13888	4385
760	13907	4367
761	13926	4349
762	13945	4331
763	13963	4313
764	13983	4295
765	14002	4277
766	14024	4260
767	14043	4242
768	14061	4224
769	14080	4205
770	14098	4187
771	14116	4169
772	14135	4151
773	14151	4131
774	14169	4113
775	14187	4095
776	14205	4077
777	14225	4059
778	14244	4041
779	14265	4023
780	14283	4005
781	14300	3986
782	14319	3968
783	14337	3950
784	14356	3931
785	14374	3913
786	14393	3895
787	14411	3877
788	14429	3858
789	14448	3840
790	14467	3822
791	14486	3804
792	14505	3786
793	14524	3768
794	14542	3749
795	14560	3731
796	14578	3713
797	14598	3695
798	14617	3677
799	14635	3658
800	14653	3640
801	14672	3622
802	14691	3604
803	14709	3585
804	14727	3567
805	14746	3549
806	14765	3531
807	14784	3513
808	14803	3494
809	14821	3476
810	14837	3457
811	14857	3439
812	14876	3421
813	14894	3403
814	14913	3385
815	14932	3367
816	14952	3349
817	14970	3330
818	14989	3312
819	15007	3294
820	15026	3276
821	15044	3257
822	15062	3239
823	15079	3220
824	15098	3202
825	15116	3184
826	15135	3166
827	15154	3147
828	15173	3129
829	15192	3111
830	15210	3093
831	15229	3075
832	15247	3056
833	15265	3038
834	15284	3020
835	15302	3002
836	15320	2983
837	15339	2965
838	15358	2947
839	15376	2928
840	15394	2910
841	15413	2892
842	15432	2874
843	15448	2855
844	15466	2837
845	15485	2818
846	15503	2800
847	15522	2782
848	15540	2764
849	15558	2745
850	15577	2727
851	15595	2709
852	15613	2690
853	15631	2672
854	15650	2654
